MQ135,MQ2,MQ4,MQ7,Temperature,Humidity,class
7.6,8.21,19.44,9.36,32,58,1
7.54,8.02,18.91,9.36,32.1,56.6,1
7.42,7.8,18.39,9.26,32.1,55.3,1
7.36,7.55,18.56,9.33,32.1,57.6,1
7.51,7.86,18.56,9.18,32,58.1,1
7.51,7.92,18.99,9.15,32.1,58.1,1
7.54,7.95,21.49,9.01,32.1,56.6,1
7.45,7.99,18.56,9.22,32.1,58.7,1
7.39,8.28,21.39,9.48,32.1,57.1,1
7.36,7.8,18.99,9.44,32.1,53.9,1
7.39,7.65,18.82,9.33,32.1,56.1,1
7.27,7.55,20.88,9.33,32.1,57.5,1
7.27,7.68,18.48,9.44,32.1,57.7,1
7.39,7.68,18.73,9.33,32.1,57.9,1
7.27,7.83,19.08,8.93,32.1,57.5,1
7.27,7.77,19.08,9.29,32.1,54,1
7.33,7.86,18.06,9.08,32.1,53.5,1
7.33,7.89,19.53,9.4,32.1,53.6,1
7.36,7.65,18.99,9.44,32.2,52.7,1
7.33,7.49,18.48,9.18,32.2,55.3,1
7.3,7.58,18.99,9.18,32.2,57.1,1
7.3,7.46,17.19,9.11,32.2,54.4,1
7.42,7.55,18.91,9.18,32.2,56.1,1
7.36,7.49,18.82,9.44,32.1,56.3,1
7.78,7.43,18.65,9.44,32.2,57.3,1
7.33,7.46,18.91,9.22,32.2,58.2,1
7.33,7.55,18.82,9.11,32.2,57.9,1
7.16,7.32,19.35,9.33,32.2,57.5,1
7.19,7.35,18.06,9.01,32.2,58.7,1
7.1,7.35,16.96,9.44,32.2,55.7,1
7.1,7.11,16.66,9.26,32.2,56.4,1
7.13,7.06,17.57,9.15,32.2,57.6,1
7.07,7.11,20.19,9.18,32.2,58.7,1
7.1,7.17,18.73,9.36,32.2,57.1,1
6.99,7.09,17.81,9.33,32.2,57.3,1
6.96,6.92,17.26,9.18,32.2,58.3,1
7.04,7.09,17.5,8.93,32.2,59.4,1
7.07,7.06,17.9,9.22,32.2,59.4,1
7.07,6.97,17.9,9.08,32.2,59.1,1
7.04,7.03,17.98,9.29,32.2,60,1
7.07,7,18.06,8.83,32.2,59.8,1
7.01,7.06,17.65,8.13,32.2,60.9,1
6.96,6.92,17.65,9.4,32.2,59.3,1
7.04,6.94,17.9,9.62,32.2,60,1
6.93,6.78,16.51,9.62,32.2,61,1
6.96,7.06,16.88,9.55,32.2,59.6,1
6.79,6.7,16.73,9.48,32.2,60.5,1
6.87,6.64,16.73,9.59,32.2,60.7,1
6.87,6.72,16.81,9.4,32.2,61.8,1
6.55,6.59,15.67,9.44,32.2,61,1
6.87,6.67,16.59,9.51,32.2,58.9,1
6.85,6.83,15.87,9.55,32.3,59.2,1
6.93,6.89,17.26,9.44,32.2,55.9,1
6.96,6.83,17.26,9.29,32.2,57.3,1
6.85,6.72,16.59,9.59,32.3,56.4,1
6.85,6.72,17.11,9.62,32.3,55.8,1
6.85,6.67,16.44,9.22,32.3,58.2,1
6.87,6.78,18.48,9.4,32.3,59.1,1
6.9,6.75,16.96,9.33,32.3,57.9,1
6.85,6.7,16.73,9.66,32.3,57.5,1
6.87,6.51,16.51,9.59,32.3,57.9,1
6.93,6.64,16.96,9.59,32.3,59.2,1
7.04,7.06,17.73,9.85,32.4,58.8,1
6.93,7.09,18.14,9.55,32.4,54.1,1
6.99,7.2,17.57,9.29,32.4,52.2,1
7.19,7.35,17.9,9.81,32.3,50.1,1
7.27,7.32,17.98,9.81,32.4,49.6,1
7.19,7.09,17.19,9.44,32.3,51.1,1
7.16,7.14,18.82,8.93,32.4,51.4,1
7.19,6.92,19.35,8.29,32.4,51.3,1
7.27,6.83,17.03,9.04,32.4,53.6,1
7.21,7.03,17.03,9.04,32.4,54.9,1
7.27,7.11,17.03,8.59,32.4,53.6,1
7.13,6.7,16.01,8.66,32.4,55.3,1
7.13,6.67,16.08,8.26,32.4,55.9,1
7.07,6.59,16.44,7.91,32.4,53.6,1
6.96,6.38,15.6,8.56,32.4,55.5,1
7.07,6.38,16.15,8.39,32.4,57,1
6.9,6.25,15.6,8.46,32.4,57.7,1
6.96,6.35,15.67,8.76,32.5,58.5,1
6.82,6.25,16.37,8.49,32.4,58.4,1
6.85,6.22,15.6,8.36,32.4,59.3,2
6.85,6.25,17.34,8.56,32.4,59.6,2
6.76,6.25,15.27,8.42,32.4,59.4,2
6.74,6.19,15.33,8.26,32.5,60,2
6.79,6.09,14.88,8.62,32.4,59.6,2
6.74,6.12,15.47,8.49,32.4,60.5,2
6.79,6.12,15.47,8.46,32.5,58.7,2
6.74,6.12,15.01,8.42,32.5,57.8,2
6.74,5.99,14.63,8.23,32.4,58.3,2
6.68,6.02,15.14,8.07,32.4,59.6,2
6.74,6.12,15.4,8.13,32.4,59.8,2
6.76,6.17,15.67,8.42,32.5,59.4,2
6.85,6.3,15.53,7.72,32.4,60.4,2
6.85,6.45,17.34,8.46,32.5,58.4,2
6.9,6.51,16.15,8.23,32.4,53.5,2
